#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Total Subscriber,Total Views,Total Videos
1,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,-,Canada,,20.9M,69700000,7736700000,627928
2,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37.3M,-,Canada,Travel,11.2M,37300000,4140300000,336036
3,The Weeknd @UC0WP5P-ufpRfjbNrmOWwLBQ,28.7M,0.20%,Canada,,8.6M,28700000,3185700000,258559
4,WatchMojo.com @UCaWd5_7JhbQBe4dknZhsHJg,24.7M,-,Canada,,7.4M,24700000,2741700000,222523
5,Linus Tech Tips @UCXuqSBlHAE6Xw-yeJA0Tunw,14.9M,0.40%,Canada,,4.5M,14900000,1653900000,134234
6,AzzyLand @UCzeB_0FNcPIyUSjL_TL5lEw,13.4M,-,Canada,,4M,13400000,1487400000,120721
7,Typical Gamer @UC2wKfjlioOCLP4xQMOWNcgg,13M,-,Canada,,3.9M,13000000,1443000000,117117
8,Hacksmith Industries @UCjgpFI5dU-D1-kh9H1muoxQ,13M,-,Canada,,3.9M,13000000,1443000000,117117
9,MrSuicideSheep @UC5nc_ZtjKW1htCVZVRxlQAQ,12.8M,-,Canada,,3.8M,12800000,1420800000,115315
10,HZHtube Kids Fun @UCAgx4HcQIYn9lM0rhtIuH9w,12.1M,-,Canada,,3.6M,12100000,1343100000,109009
11,"Baby Big Mouth Kids - Sing, Dance, Explore @UCWr4vlkj5xXQ4bSXNeTT2AA",10.5M,-,Canada,Music Travel,3.2M,10500000,1165500000,94595
12,SAS-ASMR @UCp4LfMtDfoa29kTlLnqQ5Mg,9.4M,-,Canada,,2.8M,9400000,1043400000,84685
13,WatchMojo Español @UClgevvAYKcfuthTWppKT0IQ,8M,-,Canada,,2.4M,8000000,888000000,72072
14,MostAmazingTop10 @UCBINYCmwE29fBXCpUI8DgTA,7.7M,-,Canada,,2.3M,7700000,854700000,69369
15,Simply Nailogical @UCGCVyTWogzQ4D170BLy2Arw,7.5M,-,Canada,,2.3M,7500000,832500000,67568
16,Domics @UCn1XB-jvmd9fXMzhiA6IR0w,7.4M,0.60%,Canada,,2.2M,7400000,821400000,66667
17,Gloom @UC6IijBsVf2PlWo_uq6P9wQw,7.4M,-,Canada,,2.2M,7400000,821400000,66667
18,MadFit @UCpQ34afVgk8cRQBjSJ1xuJQ,7.2M,-,Canada,,2.2M,7200000,799200000,64865
19,Shroud @UCoz3Kpu5lv-ALhR4h9bDvcw,6.8M,0.10%,Canada,Video Gaming,2M,6800000,754800000,61261
20,Chris Ramsay @UCrPUg54jUy1T_wII9jgdRbg,6.7M,-,Canada,,2M,6700000,743700000,60360
21,Pokimane @UChXKjLEzAB1K7EZQey7Fm1Q,6.7M,-,Canada,,2M,6700000,743700000,60360
22,Nick Eh 30 @UCt9nYeSz90lnOnaVFjxFJzw,6.6M,0.50%,Canada,,2M,6600000,732600000,59459
23,Ayo & Teo @UCB_Mdi3acqKLRR8zKFkqKoA,6.4M,-,Canada,,1.9M,6400000,710400000,57658
24,CelineDion @UC_yGU4qz9zAjEWLQxCg9NZQ,6.3M,-,Canada,,1.9M,6300000,699300000,56757
25,Kallmekris @UCiciOsypkXcqSFqSPd-NRVA,6.2M,3.60%,Canada,,1.9M,6200000,688200000,55856
26,Matthew Santoro @UCXhSCMRRPyxSoyLSPFxK7VA,6.2M,0.20%,Canada,,1.9M,6200000,688200000,55856
27,funnyplox @UCVUdHi-tdW5AKdzMiTPG97Q,6.2M,-,Canada,Pets,1.8M,6200000,688200000,55856
28,Jester @UCKIL4dMp2qbWElEEZHK-aug,6.1M,-,Canada,,1.8M,6100000,677100000,54955
